code, occupation
113021,  COMPUTER/INFO SYSTEMS MANAGERS
151111,  COMP/INFO RESEARCH SCIENTISTS
151121,  COMPUTER SYSTEMS ANALYSTS
151122,  INFORMATION SECURITY ANALYSTS
151131,  COMPUTER PROGRAMMERS
151134,  WEB DEVELOPERS
15113X,  SOFTWARE DEVELOPERS
151141,  DATABASE ADMINISTRATORS
151142,  NETWORK/COMP SYSTEMS ADMINS
151143,  COMPUTER NETWORK ARCHITECTS
151150,  COMPUTER SUPPORT SPECIALISTS
151199,  COMPUTER OCCUPATIONS ALL OTHER
172061,  COMPUTER HARDWARE ENGINEERS
